"n","member_id","member_name","current_DOIs","current_DOIs_abstracts","current_journal_articles","current_journal_articles_abstracts"
"69","386","Japan Endocrine Society","539","0","539","0"
"70","387","George Washington University Institute for Ethnographic Research (Project Muse)","0","0",NA,NA
"71","410","Japanese Society for Artificial Intelligence","121","0","121","0"
"72","412","Carden Jennings Publishing Co.","246","1","246","1"
"73","421","The Society for the Study of Evolution","0","0",NA,NA
"74","428","Laser Pages Publishing Ltd.","0","0",NA,NA
"75","433","Research Information Ltd.","220","0.0409090891480446","220","0.0409090891480446"
"76","434","American Academy of Implant Dentistry","234","0.183760687708855","234","0.183760687708855"
"77","438","Anthropological Society of Nippon","82","0","82","0"
"78","526","Aquatic Mammals Journal","208","0","208","0"
"79","527","International Society of Endovascular Specialists","0","0",NA,NA
"80","532","Institute of Electronics, Information and Communications Engineers (IEICE)","5243","0","5243","0"
"81","535","Competence Network Pediatric Oncology & Hematology","0","0",NA,NA
"82","538","Johnson Matthey","147","0.0544217675924301","147","0.0544217675924301"
"83","575","American Society of Plant Taxonomists","250","0","250","0"
"84","622","Tohoku University Medical Press","302","0","302","0"
"85","623","Division of Functional Equations, The Mathematical Society of Japan (JST)","40","0","40","0"
"86","624","Japanese Society of Human-Environment System","5","0","5","0"
"87","631","Japanese Society for Complementary & Alternative Medicine","53","0","53","0"
"88","632","Crop Science Society of Japan","128","0","128","0"
"89","638","Alphamed Press","970","0","970","0"
"90","736","American Society of Nephrology (ASN)","1671","0","1671","0"
"91","825","Society for Biomedical Diabetes Research (SBDR)","27","0","27","0"
"92","828","American Academy of Periodontology (AAP)","12","0",NA,NA
"93","846","Ceramic Society of Japan","601","0","601","0"
"94","862","The Feinstein Institute for Medical Research (North Shore LIJ Research Institute)","0","0",NA,NA
"95","863","Japan Society of Physiological Anthropology","0","0",NA,NA
"96","864","Society of Fiber Science and Technology Japan","425","0","425","0"
"97","865","Psychologia Society","22","0","22","0"
"98","894","American Society of Health System Pharmacists","0","0",NA,NA
"99","896","Peeters Publishers","0","0",NA,NA
"100","899","Japan Society of Personality Psychology","102","0","102","0"
"101","900","Japanese Society for the Study of Xenobiotics","0","0",NA,NA
"102","903","Soil Science Society of America","884","0","884","0"
"103","911","Japanese Society of Tropical Medicine","0","0",NA,NA
"104","912","Illuminating Engineering Society of Japan","86","0","86","0"
"105","914","Meteorological Society of Japan","315","0","315","0"
"106","925","University of Tokushima Faculty of Medicine","193","0","193","0"
"107","960","Office of Scientific and Technical Information  (OSTI)","11477","0",NA,NA
"108","962","Japanese Society of Internal Medicine","2870","0","2870","0"
"109","964","Japan Association on Odor Environment","0","0",NA,NA
"110","991","Japan Epidemiological Association","323","0","323","0"
"111","992","Japanese Society for Biological Sciences in Space","9","0","9","0"
"112","994","Laser Society of Japan","0","0",NA,NA
"113","1006","Fraunhofer-Institut fur Materialfluss und Logistik","0","0",NA,NA
"114","1012","Information Processing Society of Japan","322","0","322","0"
"115","1022","National Institute of Informatics (NII)","0","0",NA,NA
"116","1039","Tokyo Dental College","79","0","79","0"
"117","1058","Railway Technical Research Institute","136","0","136","0"
"118","1063","Jornal de Pediatria","0","0",NA,NA
"119","1079","Research Institute of Signal Processing, Japan","127","0","127","0"
"120","1080","Acarological Society of Japan","15","0","15","0"
"121","1081","Japan Academy of Neurosonology","42","0","42","0"
"122","1122","Decker, Inc.","0","0",NA,NA
"123","1151","Japan Society for Natural Disaster Science","16","0","16","0"
"124","1154","Japanese Society of Allergology","0","0",NA,NA
"125","1155","Japanese Society of Fisheries Science","762","0","762","0"
"126","1161","Ornithological Society of Japan","60","0","60","0"
"127","1162","Society of Rubber Industry, Japan","242","0","242","0"
"128","1164","The Angle Orthodontist (EH Angle Education & Research Foundation)","436","0.0733944922685623","436","0.0733944922685623"
"129","1183","Acta Dermato-Venereologica","1243","0","1243","0"
"130","1185","Yamaguchi University Medical Association","16","0","16","0"
"131","1191","American Dental Society of Anesthesiology (ADSA)","142","0.0492957755923271","142","0.0492957755923271"
"132","1193","Association for the Advancement of Medical Instrumentation (AAMI)","410","0.00243902439251542","410","0.00243902439251542"
"133","1209","Society for Imaging Science & Technology","1474","0.0481682494282722","1474","0.0481682494282722"
"134","1210","Academy of Natural Sciences of Philadelphia","21","0","21","0"
"135","1214","American Bryological and Lichenological Society","206","0","206","0"
"136","1215","American Fern Society","57","0","57","0"
"137","1222","Association of Avian Veterinarians (AAV)","187","0","187","0"
"138","1228","Florida Entomological Society","413","0","413","0"
"139","1229","Helminthological Society","108","0","108","0"
"140","1231","Institute of Arctic and Alpine Research (INSTAAR)","0","0",NA,NA
"141","1236","Kansas Academy of Science","110","0","110","0"
"142","1247","Society of Wetland Scientists","0","0",NA,NA
"143","1250","Waterbird Society","190","0","190","0"
"144","1252","Primate Society of Japan","70","0","70","0"
"145","1253","Iron and Steel Institute of Japan","1237","0","1237","0"
"146","1261","Castanea","64","0","64","0"
"147","1264","Ursus","45","0","45","0"
"148","1288","Sociedade Portuguesa de Vida Selvagem (SPVS)","3","0","3","0"
"149","1295","Japanese Society for Magnetic Resonance in Medicine","232","0","232","0"
"150","1297","Japan Association of Mineralogical Sciences","186","0","186","0"
"151","1302","Oncology Nursing Society (ONS)","646","0.0247678011655807","646","0.0247678011655807"
"152","1308","Japanese Society of Tribologists","110","0","110","0"
"153","1310","American Speech Language Hearing Association","3542","0","3542","0"
"154","1312","American Journal of Science (AJS)","85","0","85","0"
"155","1315","Society of Computer Chemistry Japan","154","0","154","0"
"156","1318","Codata","0","0",NA,NA
"157","1319","Japanese Society of Sciences in Swimming and Water Exercise","7","0","7","0"
"158","1328","Society for Hard Tissue Regenerative Biology","162","0","162","0"
"159","1333","Japan Wood Society","65","0","65","0"
"160","1334","English Literature in Transition (Project Muse)","0","0",NA,NA
"161","1337","Soil and Water Conservation Society","225","0","225","0"
"162","1342","Japanese Society of Inflammation and Regeneration","0","0",NA,NA
"163","1346","Japan Society for Precision Engineering","750","0","750","0"
"164","1347","Technical Association of Photopolymers, Japan","238","0","238","0"
"165","1363","Japanese Society for Horticultural Science","335","0","335","0"
"166","1364","WARC Limited","146","0","146","0"
"167","1369","Indiana University Center for Genomics and Bioinformatics (CGB)","0","0",NA,NA
"168","1376","Japanese Society of Animal Science","73","0","73","0"
"169","1379","Pacific Northwest Fungi Project","0","0",NA,NA
"170","1383","Japanese Society for Palliative Medicine","163","0","163","0"
"171","1425","EMW Publishing","1643","0","1643","0"
"172","1427","Patricia Seybold Group (PSG)","3","0",NA,NA
"173","1433","Japanese Society of Spinal Surgery","132","0","132","0"
"174","1437","Japan Society of Naval Architects and Ocean Engineers","102","0","102","0"
"175","1442","Swiss Chemical Society","438","0.0228310506790876","438","0.0228310506790876"
"176","1443","Department of Anatomy Keio University School of Medicine","35","0","35","0"
"177","1444","Japanese Society of Veterinary Dermatology","36","0","36","0"
"178","1449","Frontiers in Bioscience","530","0","530","0"
"179","1470","Japan Society of Drug Delivery System","162","0","162","0"
"180","1485","International Association for Bridge and Structural Engineering (IABSE)","151","0","151","0"
"181","1518","Japan Pancreas Society","129","0","129","0"
"182","1524","Japan Laser Processing Society","138","0","138","0"
"183","1526","The Japan Society of Thermophysical Properties","18","0","18","0"
"184","1527","Japan Society of Information and Knowledge","116","0","116","0"
"185","1554","Research Institute for Mathematical Sciences, Kyoto University","0","0",NA,NA
"186","1556","Society of Advanced Science","21","0","21","0"
"187","1565","East African Natural History Society","19","0","19","0"
"188","1566","National Shellfisheries Association","224","0","224","0"
"189","1567","Pacific Science","110","0","110","0"
"190","1568","Cactus and Succulent Society of America","145","0","145","0"
"191","1569","The American Mosquito Control Association","165","0.0848484858870506","165","0.0848484858870506"
"192","1577","Radiological Society of North America (RSNA)","2354","0","2181","0"
"193","1589","Japanese Association for Chest Surgery","497","0","497","0"
"194","1591","Carnegie Museum of Natural History","22","0","22","0"
"195","1593","Brazilian Herpetological Society","74","0","74","0"
"196","1602","Society of Nuclear Medicine","1198","0","1198","0"
"197","1604","American Educational Research Association (AERA)","675","0.232592597603798","675","0.232592597603798"
"198","1606","Harvard University Botany Libraries","65","0","65","0"
"199","1607","Kentucky Academy of Science","8","0","8","0"
"200","1635","Graduate School of Environmental Science, Okayama University","4","0","4","0"
"201","1646","Institute of Physical Optics","71","0","71","0"
"202","1647","New England Botanical Club","101","0","101","0"
"203","1648","California Botanical Society","79","0","79","0"
"204","1655","Japanese Society for Root Research","28","0","28","0"
"205","1658","American Board of Family Medicine (ABFM)","395","0","395","0"
"206","1664","Japanese Environmental Mutagen Society","0","0",NA,NA
"207","1667","Society of Exploration Geophysicists of Japan","44","0","44","0"
"208","1675","Australian Journal of Information Systems","122","1","122","1"
"209","1693","The Marine Acoustics Society of Japan","9","0","9","0"
"210","1715","Dietitians of Canada","126","0","126","0"
"211","1721","Men's Studies Press, LLC","0","0",NA,NA
"212","1738","Japan Society for Fuzzy Theory and Intelligent Informatics","201","0","201","0"
"213","1739","The Society for Free Radical Research Japan","227","0","227","0"
"214","1740","Japanese Society for Pediatric Nephrology","63","0","63","0"
"215","1742","Field Museum of Natural History","4","0","4","0"
"216","1744","Southern California Academy of Sciences","48","0","48","0"
"217","1747","American Dairy Science Association","3126","0","3014","0"
"218","1748","Berghahn Books","2037","0.696121752262115","2037","0.696121752262115"
"219","1755","Japanese Society of Agricultural Informatics","36","0","36","0"
"220","1756","American Society of Neuroradiology (ASNR)","1302","0.00384024577215314","1302","0.00384024577215314"
"221","1758","Japan Society for Molecular Science","19","0","19","0"
"222","1760","Japan Society of Hydrology and Water Resources","202","0","202","0"
"223","1762","Lavoisier","2449","0.171498566865921","2449","0.171498566865921"
"224","1763","Reactome","78","0","78","0"
"225","1771","The Phytopathological Society of Japan","83","0","83","0"
"226","1775","McFarland and Company, Inc., Publishers","0","0",NA,NA
"227","1784","Nordic Pulp and Paper Research Journal","0","0",NA,NA
"228","1785","Science Reviews 2000 LTD","0","0",NA,NA
"229","1788","Japanese Society for Thermal Medicine","19","0","19","0"
"230","1792","Japan Society for Immunology of Reproduction","4","0","4","0"
"231","1798","E-MED LTD","56","0","56","0"
"232","1806","AIS Educator Association","11","0","11","0"
"233","1807","White Horse Press","464","0","464","0"
"234","1813","International Society of Chromosome Botany","62","0","62","0"
"235","1824","College Art Association","546","0","546","0"
"236","1826","The Japanese Geotechnical Society","233","0","233","0"
"237","1827","The Society for Actinomycetes Japan","0","0",NA,NA
"238","5","American College of Chest Physicians","0","0",NA,NA
"239","6","American College of Medical Physics (ACMP)","0","0",NA,NA
"240","19","American Thoracic Society","10788","0","3979","0"
"241","20","American Vacuum Society","1590","0","1590","0"
"242","25","Applied Probability Trust","0","0",NA,NA
"243","32","American Society for Clinical Pathology (ASCP)","0","0",NA,NA
"244","63","Clay Minerals Society","10","0",NA,NA
"245","67","CSIRO Publishing","7824","0.850332319736481","7739","0.84868848323822"
"246","69","Dartmouth College Library Press","32","0","23","0"
"247","79","EMBO","1946","0","1946","0"
"248","80","The Endocrine Society","5625","0.113955557346344","5625","0.113955557346344"
"249","92","Gallaudet University Press (Project Muse)","0","0",NA,NA
"250","100","Human Kinetics","4572","0.667760252952576","4572","0.667760252952576"
"251","103","International Bone & Mineral Society","0","0",NA,NA
"252","104","International Centre for Diffraction Data (ICDD)","0","0",NA,NA
"253","113","International Union of Pure and Applied Chemistry (IUPAC)","0","0",NA,NA
"254","123","Japan Radiation Research Society","0","0",NA,NA
"255","138","Maney Publishing","6","0","6","0"
"256","141","Metapress","0","0",NA,NA
"257","143","Michigan Mathematical Journal","121","0","121","0"
"258","149","Notre Dame Journal of Formal Logic","0","0",NA,NA
"259","162","Royal Pharmaceutical Society","4432","0","4432","0"
"260","177","Royal Swedish Academy of Sciences","0","0",NA,NA
"261","180","Society for Applied Spectroscopy","0","0",NA,NA
"262","181","Schweizerbart","1849","0.0140616549178958","1849","0.0140616549178958"
"263","187","Society of Rheology","316","0","298","0"
"264","204","Uitgeverij Boom","0","0",NA,NA
"265","208","Universite du Quebec a Chicoutimi","133","0.729323327541351","129","0.751937985420227"
"266","217","College Literature (Project Muse)","0","0",NA,NA
"267","229","American Museum of Natural History (BioOne sponsored)","104","0","104","0"
"268","233","American Society of Clinical Oncology (ASCO)","26051","0","25745","0"
"269","234","American Society of Hematology","9940","0.863682091236115","9940","0.863682091236115"
"270","242","CABI Publishing","1063","0","168","0"
"271","252","Environmental Health Perspectives","715","0","715","0"
"272","254","Fibre Diffraction Review","0","0",NA,NA
"273","259","Guttmacher Institute","164","0","143","0"
"274","264","IFIS Publishing","0","0",NA,NA
"275","268","Japanese Society of Applied Entomology & Zoology","164","0","164","0"
"276","270","Journal of Marine Research/Yale","40","0","40","0"
"277","271","Japanese Society of Breeding","283","0","283","0"
"278","278","Mary Ann Liebert Inc","26245","0","26245","0"
"279","282","Multi-Science Publishing Co. Ltd.","0","0",NA,NA
"280","290","The Society of Protozoologists","0","0",NA,NA
"281","292","Royal Society of Chemistry (RSC)","121263","0.853417754173279","118456","0.873640835285187"
"282","294","Science China Press., Co. Ltd.","3652","0","3651","0"
"283","296","Society for In Vitro Biology","0","0",NA,NA
"284","298","Society of Polymer Science, Japan","186","0","186","0"
"285","299","Surface Science Society Japan","614","0","614","0"
"286","314","Acoustical Society of Japan","158","0","158","0"
"287","315","Association of Learned and Professional Society Publishers (ALPSP)","0","0",NA,NA
"288","316","American Chemical Society (ACS)","172741","0.0368239171802998","163845","0"
"289","324","Ebsco Publishing","0","0",NA,NA
"290","327","IM Publications Open LLP","90","0.411111116409302","53","0.698113203048706"
"291","328","Japan Society of Applied Physics","5728","0","5138","0"
"292","344","Society for Biotechnology, Japan","0","0",NA,NA
"293","357","University of St. Thomas (Project Muse)","0","0",NA,NA
"294","360","University of North Carolina Press (Project Muse)","0","0",NA,NA
"295","361","University of Minnesota Press (Project Muse)","0","0",NA,NA
"296","362","Journal of Social History (George Mason University) (Project Muse)","0","0",NA,NA
"297","363","The Americas (Catholic University) (Project Muse)","0","0",NA,NA
"298","364","Music Library Association (Project Muse)","0","0",NA,NA
"299","365","University of Hawaii Press (Project Muse)","0","0",NA,NA
"300","366","Kent State University Press (Project Muse)","0","0",NA,NA
"301","367","University of Nebraska Press (Project Muse)","0","0",NA,NA
"302","369","Wayne State University Press (Project Muse)","0","0",NA,NA
"303","370","Human Factors and Ergonomics Society","0","0",NA,NA
"304","375","Indiana University Mathematics Journal","207","0","207","0"
"305","376","International Leprosy Association","0","0",NA,NA
"306","377","Guilford Publications","1124","0","1124","0"
"307","414","Genetics Society of America","1913","0","1912","0"
"308","419","Intel","0","0",NA,NA
"309","420","Academy of Traumatology","0","0",NA,NA
"310","424","Mars Informatics","0","0",NA,NA
"311","429","Cartography and Geographic Information Society (CaGIS)","0","0",NA,NA
"312","430","American Society for Photobiology","0","0",NA,NA
"313","440","Royal College of Obstetricians & Gynaecologists (RCOG)","0","0",NA,NA
"314","531","Pearblossom Private School","0","0",NA,NA
"315","536","Neoplasia Press","0","0",NA,NA
"316","559","International Reading Association","0","0",NA,NA
"317","560","American Cleft Palate Association","0","0",NA,NA
"318","576","Society for the Study of Reproduction","0","0",NA,NA
"319","577","Milbank Memorial Fund","0","0",NA,NA
"320","612","Weed Science Society","0","0",NA,NA
"321","621","Atypon","0","0",NA,NA
"322","633","Lamaze International","0","0",NA,NA
"323","681","Society for Endocrinology","0","0",NA,NA
"324","737","Journal of Rehabilitation Research & Development","0","0",NA,NA
"325","843","Monash University","0","0",NA,NA
"326","847","Confederacion Academica Nipona, Espanola y Latinoamericana","0","0",NA,NA
"327","848","Zoological Society of Japan","192","0","192","0"
"328","866","Japan Society for Analytical Chemistry","1066","0","1066","0"
"329","895","Dove Medical Press Ltd.","18630","0","18630","0"
"330","902","Crop Science Society of America","1034","0","1034","0"
"331","904","MTT Agrifood Research Finland","0","0",NA,NA
"332","924","Society for Information Display","0","0",NA,NA
"333","927","Historic Brass Society","0","0",NA,NA
"334","973","Association for Symbolic Logic","0","0",NA,NA
"335","989","Baywood Publishing Company, Inc.","0","0",NA,NA
"336","1028","International Dose-Response Society","0","0",NA,NA
"337","1046","Stewart Postharvest Solutions","0","0",NA,NA
"338","1083","Japanese Society of Echocardiography","0","0",NA,NA
"339","1095","Symposium Journals","0","0",NA,NA
"340","1113","Association for Vascular Access","104","0.105769231915474","104","0.105769231915474"
"341","1130","ACTA Press","472","0","338","0"
"342","1148","Intellectual Property Association of Japan","0","0",NA,NA
"343","1153","Japanese Breast Cancer Society","0","0",NA,NA
"344","1204","Society for Pediatric Pathology (SPP)","0","0",NA,NA
"345","1216","American Institute of Biological Sciences","0","0",NA,NA
"346","1219","American Society of Mammalogists (ASM)","0","0",NA,NA
"347","1221","Association for Tropical Biology","0","0",NA,NA
"348","1223","Association of Field Ornithologists","0","0",NA,NA
"349","1226","Crustacean Society","0","0",NA,NA
"350","1227","EUCC - The Coastal Union","0","0",NA,NA
"351","1233","International Association for Vegetation Science","0","0",NA,NA
"352","1237","Micropaleontology Press BioOne","0","0",NA,NA
"353","1238","National Association of Biology Teachers","0","0",NA,NA
"354","1239","New York Botanical Garden","0","0",NA,NA
"355","1241","Orthopterists' Society","0","0",NA,NA
"356","1242","Paleontological Society","0","0",NA,NA
"357","1244","Society for Integrative and Comparative Biology","0","0",NA,NA
"358","1246","Society of Vertebrate Paleontology","0","0",NA,NA
"359","1248","University of Arizona Library","0","0",NA,NA
"360","1258","Society for Freshwater Science","0","0",NA,NA
"361","1262","Palynology","0","0",NA,NA
"362","1263","JANAS","12","0","12","0"
"363","1265","Wildlife Society","0","0",NA,NA
"364","1266","Journal of Wildlife Management","0","0",NA,NA
"365","1287","Ammons Scientific","0","0",NA,NA
"366","1289","EPP Publications Ltd.","0","0",NA,NA
"367","1294","Meteorological Research Institute, Japan Meteorological Agency","5","0","5","0"
"368","1324","Radiology Case Reports, University of Washington","0","0",NA,NA
"369","1361","University of Zagreb - University Computing Centre","0","0",NA,NA
"370","1380","The Commonwealth Fund (CMWF)","0","0",NA,NA
"371","1390","University of Cadiz Library","0","0",NA,NA
"372","1394","Journal of Orthopaedic & Sports Physical Therapy (JOSPT)","468","0","468","0"
"373","1403","American Physical Therapy Association (APTA)","0","0",NA,NA
"374","1423","American Society of Animal Science (ASAS)","0","0",NA,NA
"375","1430","PIERS Enterprise","0","0",NA,NA
"376","1441","The Electromagnetics Academy","0","0",NA,NA
"377","1447","Higher Education Press","0","0",NA,NA
"378","1448","California Institute for Human Science","0","0",NA,NA
"379","1483","Bellwether  Publishing","0","0",NA,NA
"380","1492","M. E. Sharpe Inc.","0","0",NA,NA
"381","1498","Foundation for Cellular and Molecular Medicine","0","0",NA,NA
"382","1509","FDI World Dental Press Ltd.","0","0",NA,NA
"383","1544","Current Biodata","0","0",NA,NA
"384","1563","Ecoscience","0","0",NA,NA
"385","1572","Association for Politics and the Life Sciences","0","0",NA,NA
"386","1573","European Optical Society","0","0",NA,NA
"387","1580","Theological Research Exchange Network (TREN)","0","0",NA,NA
"388","1597","Center for Psychiatric Rehabilitation","0","0",NA,NA
"389","1618","Herpetological Society of Japan","0","0",NA,NA
"390","1627","Allerton Press","9079","0","9079","0"
"391","1644","Data Trace Publishing Company","124","0","124","0"
"392","1645","Westerdijk Fungal Biodiversity Institute","51","0.0392156876623631","51","0.0392156876623631"
"393","1656","Japanese Society for Extremophiles","0","0",NA,NA
"394","1669","Vietnam Journals Online (JOL)","0","0",NA,NA
"395","1681","Scidea Ltd.","0","0",NA,NA
"396","1682","Canadian Opthalmological Society","0","0",NA,NA
"397","1687","Emerging Health Threats Forum CIC","0","0",NA,NA
"398","1688","Sherborne Gibbs Ltd.","0","0",NA,NA
"399","1697","Carl Hanser Verlag","9219","0","2591","0"
"400","1699","Transportation Research Board","0","0",NA,NA
"401","1700","Improbable Research Inc.","0","0",NA,NA
"402","1752","Medical Library Association","0","0",NA,NA
"403","1761","Estonian Academy Publishers","451","0","451","0"
"404","1805","Czech Geological Society","54","0","54","0"
"405","1810","Phorte Editora","0","0",NA,NA
"406","4408","British Hydrological Society","0","0",NA,NA
"407","4411","Department of Biology (UPM)","0","0",NA,NA
"408","4413","World Literature Today","962","0","962","0"
"409","4462","The Society of Sasang Constitutional Medicine","7","0","7","0"
"410","4474","Korean Institute of Educational Environment","10","0","10","0"
"411","4475","CNU Journal of Agricultural Science","48","0","48","0"
"412","4476","Korean Society of Soil Science and Fertilizer","32","0","32","0"
"413","4478","Institute of Forest Science, Kangwon National University","8","0","8","0"
"414","4479","Revista Mexicana de Biodiversidad","0","0",NA,NA
"415","4480","Indian Journal of Medical Specialties","0","0",NA,NA
"416","4482","The Korean Society of Radiology (KISTI)","46","0","46","0"
"417","4483","Dundee Science Press","0","0",NA,NA
"418","4485","Perspectives of New Music","58","0","58","0"
"419","4488","Zeta Books","0","0",NA,NA
"420","4491","Boydell & Brewer Group, Ltd.","0","0",NA,NA
"421","4492","Cureus, Inc.","5075","0","5075","0"
"422","4493","AMS Press, Inc.","0","0",NA,NA
"423","4500","Association of Technology and Science","416","0","416","0"
"424","4527","The Korean Society of Remote Sensing","10","0","10","0"
"425","4528","Korean Society of Steel Construction","94","0","94","0"
"426","4529","Korean Society for Railway","295","0","295","0"
"427","4531","Adenine Press, Inc.","0","0",NA,NA
"428","4535","Istituto Superiore di Sanita","0","0",NA,NA
"429","4538","The Japanese Coronary Association","104","0","104","0"
"430","4539","Korean Vaccine Society (KAMJE)","57","0","57","0"
"431","4548","Saint Louis University","0","0",NA,NA
"432","4550","American Oriental Society","400","0","400","0"
"433","4559","Ondokuz Mayis Universitesi Egitim Fakultesi","0","0",NA,NA
"434","4583","The Korean Institute of Gas","12","0","12","0"
"435","4584","Korean Geotechnical Society","0","0",NA,NA
"436","4585","The Korean Institute of Resources Recycling","21","0","21","0"
"437","4586","The Microbiological Society of Korea","11","0","11","0"
"438","4588","The Korean Society of Fish Pathology","0","0",NA,NA
"439","4591","The Korean Society of Oceanography","4","0","4","0"
"440","4593","Korean Society of Sericultural Science","3","0","3","0"
"441","4594","The Korean Society of Veterinary Service","0","0",NA,NA
"442","4595","Petrological Society of Korea","8","0","8","0"
"443","4599","The Busan Gyeongnam Mathematical Society","17","0","17","0"
"444","4600","Korean Institute of Educational Facilities","4","0","4","0"
"445","4601","JCDR Research and Publications","3504","0","3504","0"
"446","4608","Brookings Institution Press","0","0",NA,NA
"447","4618","CEU Educational-Service Non-profit LLC","0","0",NA,NA
"448","4619","Global Summitry Project, Munk School","0","0",NA,NA
"449","4621","The Korean Audiological Society","105","0","105","0"
"450","4624","Showa University Dental Society","0","0",NA,NA
"451","4628","EDAA","0","0",NA,NA
"452","4651","Korean Society of Computer Information","19","0","19","0"
"453","4652","The Korea Society for Simulation","7","0","7","0"
"454","4653","The Malacological Society of Korea","64","0","64","0"
"455","4654","Korean Tunnelling Association","36","0","36","0"
"456","4656","The Korean Institute of Chemical Engineers","0","0",NA,NA
"457","4658","Korean Institute of Landscape Architecture","104","0","104","0"
"458","4659","The Korea Society of Information Technology Services","0","0",NA,NA
"459","4660","Korea Multimedia Society","87","0","87","0"
"460","4663","The Korea Society of Engineering Geology","0","0",NA,NA
"461","4664","Korean Society of Food Science and Technology","34","0","34","0"
"462","4666","The Korea Society of Industrial Systems","25","0","25","0"
"463","4669","The Korea Society for Power System Engineering","147","0","147","0"
"464","4671","Digital Contents Society","435","0","435","0"
"465","4672","Korean Society of Electron Microscopy","62","0","62","0"
"466","4688","International Journal of Alcohol and Drug Research","20","0","20","0"
